"Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0."
17,17,1020,11545,SARSWATI VIDYA MANDIR,BAROTA,BILASPUR,174027,9th-10th (C ),,2025-26,8894658735,svmbarota20107@gmail.com
18,18,1104,11547,ORIENTAL PUBLIC SCHOOL,HARLOG,BILASPUR,174003,9th-10th,,2025-26,"98162-28055,98169-02880,
98579-01801",opsblp12@gmail.com
19,19,1031,11548,CHILDREN PUBLIC SCHOOL,BERTHIN,BILASPUR,174029,9th-10th,,2025-26,98165-06735,vinodgautam748@gmail.com
20,20,1082,11552,"VIVEKANAND MODEL  HIGH
SCHOOL",GEHARWIN,BILASPUR,174034,9th-10th,,2025-26,"82196-75913,94180-45609",vnmsgehrwin@gmail.com
21,21,1077,11554,GANDHIR PUBLIC SCHOOL,GANDHIR,BILASPUR,174029,9th-10th,,2025-26,"98162-49100,01978-269010,
98160-69100",gandhirpublicschool@yahoo.in
22,22,1065,11555,HIM PUBLIC SR.SEC. SCHOOL,DEHRA-GALAHI,BILASPUR,174028,9th-10th,,2025-26,"94184-69972, 70188-
95187,01978-252550",himpublic@gmail.com
23,23,1189,11557,"VISION CONVENT SCHOOL
RAURA SECTOR-2",BILASPUR,BILASPUR,174001,9th-10th,,2025-26,"98170-54388, 01978-223383",vcbilaspur@gmail.com
24,24,1123,11559,SHIVALIK PUBLIC SCHOOL,JUKHALA,BILASPUR,174033,9th-10th (C ),,2025-26,"98172-24472 , 70182-16672",shivalikpublicschool01@gmail.com
25,25,1177,11560,KOL VALLEY PUBLIC SCHOOL,NEHAR,BILASPUR,174036,9th-10th (C ),,2025-26,98051-56924,kolvalleypublicschool@gmail.com
26,26,1046,11561,"DAYA NAND MODEL HIGH
SCHOOL RAURA SECTOR-2",BILASPUR,BILASPUR,174001,9th-10th (C ),,2025-26,"94182-14390, 01978-221972",dmsbilaspur@gmail.com
27,27,1124,11562,"RISHI MARKANDAY PUBLIC
SCHOOL",JUKHALA,BILASPUR,174033,9th-10th,,2025-26,"94184-68408, 98172-78682",rmarkandeyschool02@gmail.com
28,28,1143,11563,KEHLOOR PUBLIC SCHOOL,KOTHIPURA,BILASPUR,174001,9th-10th,,2025-26,"01978-280191, 94180-02713",kpsbilaspur80@gmail.com
29,29,1151,11565,"NAV CHETNA PUBLIC
SCHOOL",LEHRI-SAREL,BILASPUR,174027,9th-10th,,2025-26,"94592-19563,98170-
12505,97366-66500",headmasterncps@gmail.com
30,30,4696,11566,GYAN JYOTI PUBLIC SCHOOL,TOBA(JHIRIAN),BILASPUR,174002,9th-10th (C ),,2025-26,"82196-72042, 98050-30312",gjpstobajhirian@gmail.com
31,31,1131,11567,SARSWATI VIDYA MANDIR,KANDROUR,BILASPUR,174004,9th-10th,,2025-26,9015314693,svmkandrour1983@gmail.com
32,32,1016,11569,"R.R. MEMORIAL PUBLIC
SCHOOL",BARI (PADYALAG),BILASPUR,174023,9th-10th (C ),,2025-26,"98167-65600,98168-65600",halodompublicschool@gmail.com
33,33,4934,11571,GLORY PUBLIC SCHOOL,BILASPUR,BILASPUR,174001,9th-10th,,2025-26,"98161-99046,94185-36660",gpsbilaspurhp@gmail.com
34,34,5152,11573,BERTHIN PUBLIC SCHOOL,BERTHIN,BILASPUR,174029,9th-10th,,2025-26,"98170-54086, 01978-266111",hmvpschool@gmail.com
35,35,5153,11574,"SARSWATI VIDYA MANDIR
SCHOOL",DADHOL,BILASPUR,174023,9th-10th (C ),,2025-26,9816125065,svmdadhalheadmaster@gmail.com
36,36,5292,11577,"SHINING VIEW PUBLIC
SCHOOL BEHAL",SHRI NAINA DEVI,BILASPUR,174015,9th-10th,,2025-26,"98165-91927, 70184-79433",svpschoolbehal@gmail.com
37,37,5276,11578,"GRACE GARDEN SCHOOL
GHUMARWIN",GHUMARWIN,BILASPUR,174021,9th-10th,,2025-26,70183-59708,sureshsankhyan9@gmail.com
38,38,1044,11703,ARYAN PUBLIC SCHOOL,BILASPUR,BILASPUR,174001,9th-+2(Sci.),,2025-26,"01978-221863, 98172-00073,
94181-07622",Principalaryanblp@yahoo.com
39,39,1045,11706,"CRESCENT PUBLIC
SR.SEC.SCHOOL",BILASPUR,BILASPUR,174001,9th-+2(Sci.) (c ),,2025-26,"98173-57901,01978-221660,
94180-41606",cpsblp@gmail.com
40,40,1099,11707,MINERVA SR.SEC. SCHOOL,GHUMARWIN,BILASPUR,174021,9th-+2(Sci.) (c ),,2025-26,"94182-12885, 01978-255616",parvesh3791@gmail.com
41,41,1100,11708,VISION CONVENT SCHOOL,GHUMARWIN,BILASPUR,174021,9th-+2(Arts/Sci/Comm),,2025-26,"94180-12324, 01978-256789",visionconventschool@gmail.com
42,42,1101,11709,"THOMSON SR.SEC.PUBLIC
SCHOOL",GHUMARWIN,BILASPUR,174021,9th-10th,,2025-26,7876290869,rajnishuppal6@gmail.com
43,43,1028,11711,"JYOTI PUBLIC
SR.SEC.SCHOOL",BERTHIN,BILASPUR,174029,9th-+2(Sci.)  (c ),,2025-26,", 82191-76165",Jyotischool94@gmail.com
44,44,1029,11712,"ALPHA PUBLIC SR.SEC.
SCHOOL",BERTHIN,BILASPUR,174029,9th-+2(Sci.)  (c ),,2025-26,"98171-78349, 01978,266689,
98165-45789",thakur.alpha@gmail.com
45,45,1060,11714,"HIM ANCHAL PUBLIC
SR.SEC.SCHOOL",DADHOL,BILASPUR,174024,9th-+2(Arts/Comm),,2025-26,"98170-77258,98056-17186",principalhimanchal03@gmail.com
46,46,1216,11715,"JAI HIM NAV JYOTI
SR.SEC.SCHOOL",TALYANA,BILASPUR,174026,9th-+2(Arts/Comm) (c ),,2025-26,"98160-54019,94180-
58193,01978-258193",jtalyana@yahoo.com
47,47,1027,11720,"DEV ADARSH VIDYA
SR.SEC.PUB.SCHOOL",BERI(HARKHAR),BILASPUR,174001,9th-+2th (Arts/Sci),,2025-26,9817067545,principaldavberi@gmail.com
48,48,1167,11722,SH.SHAKTI SR.SEC.SCHOOL,NAINA DEVI JI,BILASPUR,174310,9th-+2 (Arts/Sci),,2025-26,"01978-288022, 94182-
02666,94186-92007",principalsssssnainadevi@gmail.com
49,49,1190,11723,"SARSWATI VIDYA MANDIR
SR.SEC.SCHOOL",(RAURA)BILASPUR,BILASPUR,174001,9th-+2(Sc.)  (C ),,2025-26,"01978-223607,94183-43593,
94180-03931",crsvmbilaspur@gmail.com
50,50,1140,11724,"BRIGHT FUTURE PUBLIC
SCHOOL",KANDRAUR,BILASPUR,174004,9th-10th  (C ),,2025-26,"01978-243073,98174-43545,
98057-67672","brightfuturepublicschool2015@gma
il.com"
51,51,1207,11727,"ADARSH PUBLIC
SR.SEC.SCHOOL",SWARGHAT,BILASPUR,174011,9th-+2(Arts/Sci)  (C ),,2025-26,"94181-77167, 97361-65085,
70182-54210",adarshschoolswarghat@gmail.com
52,52,1213,11728,"SHISHU MODEL
SR.SEC.SCHOOL",TALAI,BILASPUR,174030,9th-+2(Com)  (c ),,2025-26,"01978-264126,94180-87605",smssschooltalai1234@gmail.com
53,53,1130,11729,"SWAMI VIVEKANAND
MEMO PUBLIC SR.SEC. SCHOOL",KANDRAUR,BILASPUR,174004,9th-+2 (Sci/Comm) (c ),,2025-26,"94180-53794 ,94180-87250",svnmkdr@gmail.com
54,54,1096,11730,"SHIKSHA  ACADEMY PUBLIC
SCHOOL",GHUMARWIN,BILASPUR,174021,9th-+2th (Arts/Sci/Comm),,2025-26,"98161-41702,01978-
256702,94184-73102",team2012on@gmail.com
55,55,1066,11731,"SEEDLING PUBLIC SR. SEC
SCHOOL",DEHRA,BILASPUR,174028,9th-+2(Sc.)  (C ),,2025-26,"94181-62941,97363-62131,
01978-252300",seedlingps@yahoo.co.in
56,56,1093,11732,"SARSWATI VIDYA MANDIR
SR.SEC. SCHOOL",GHUMARWIN,BILASPUR,174021,9th-+2th (Sc.)  (C ),,2025-26,"01978-255360,98162-63134",svmghumarwin@gmail.com
57,57,1095,11733,NOPS PUBLIC SCHOOL,GHUMARWIN,BILASPUR,174021,9th-+2(Sci)  (C ),,2025-26,"94180-01520,01978-
254359,98168-94010",nops32006@gmail.com
58,58,1067,11734,TAGORE PUBLIC SCHOOL,DELAG (BHADROG),BILASPUR,174021,9th-10th  (C ),,2025-26,"01978-255906,94188-52651",tagoreschool.gmr@gmail.com
59,59,1120,11735,RAHAN SHIKSHA NIKETAN,JHANDUTTA,BILASPUR,174031,9th-+2(Sci/Comm),,2025-26,"9418011651,70182-83419",rahanshikshaniketan@gmail.com
60,60,1147,11736,"ANUPAM PUBLIC
SR.SEC.SCHOOL",KUTHERA,BILASPUR,174026,"9th- +2 (Arts/Comm/Sci)  (C
)",,2025-26,7831096871/7018567678,"anupampublichighschool.kuthera@
gmail.com"
61,61,1175,11737,"BAHADURPUR PUBLIC
SCHOOL",NAMHOL,BILASPUR,174032,9th-12th( Arts/Comm),,2025-26,"93180-30405,89883-08120",shravanbps@gmail.com
62,62,1038,11738,"SARSWATI VIDYA MANDIR
HIGH SCHOOL",BHATER,BILASPUR,174027,9th-12th (Sci)  (c ),,2025-26,7018098471,svmbhater@gmail.com
63,63,1043,11739,BILASPUR PUBLIC SCHOOL,BILASPUR,BILASPUR,174001,9th-12th (Sci/Com.)  (C ),,2025-26,"01978-222206,94180-29206",principalbpsbilaspur@gmail.com
64,64,5154,11740,"GREENWOOD PUBLIC
SCHOOL",DEOTH,BILASPUR,174001,9th-12th(Sci),,2025-26,"01978-249530, 93187-88434",greenwooddeoth@gmail.com
65,65,1204,11741,ROYAL PUBLIC SCHOOL,SWAHAN,BILASPUR,174310,9th-12th(Arts/Sci) (c ),,2025-26,"01978-238066,94186-72321",royal_school2005@yahoo.in
66,66,1146,11742,ADARSH HIGH SCHOOL,KUTHERA,BILASPUR,174026,9th-2(Arts/Sci),,2025-26,"01978275690, 9418075794",adarsh.kuthera1989@gmail.com
67,67,1121,11743,HIMACHAL PUBLIC SCHOOL,JHANDUTTA,BILASPUR,174031,9th-+2(Sci) (c ),,2025-26,"01978-318906, 94180-32089,
70185-11035",hpsjhandutta2002@gmail.com
68,68,5151,11744,"DOHLA VALLEY
INTERNATIONAL SCHOOL",KOTHICHANDPUR,BILASPUR,174004,9th-+2(Arts/Sci) (c ),,2025-26,"94183-39379,98170-89799",principaldvis@gmail.com
69,1,1260,12511,"SHRI JAI KRISHAN GIRI
PUBLIC SCHOOL",BHARMOUR,CHAMBA,176315,9th-10th,,2025-26,98059-00573,SJKGPSchool@gmail.com
70,2,1411,12512,MINERVA PUBLIC SCHOOL,SALOONI (JADOGA),CHAMBA,176320,9th-10th,,2025-26,98169-29376,minerva12512@gmail.com
71,3,1272,12515,JAGRITI PUBLIC SCHOOL,CHAMBA,CHAMBA,176310,9th-10th,,2025-26,"78070-41992, 86270-41992",jagritipublicschool@gmail.com
72,4,1450,12518,"J.R.T. MEMORIAL CHURAH
PUBLIC SCHOOL",TISSA,CHAMBA,176316,9th-10th,,2025-26,94188-33379,jrtmcpstissa@gmail.com
73,5,1321,12521,"R.K.MEMO.NATIONAL
PUBLIC SCHOOL","HARDASPUR
CHAMBA",CHAMBA,176318,9th-10th,,2025-26,"94182-20545,01899-220545,
98166-64242",rkmemorial.nps@gmail.com
74,6,1383,12522,SAI PUBLIC SCHOOL,NAINI KHAD,CHAMBA,176301,9th-10th (C ),,2025-26,"94181-93092,94180-07729,
86288-93092",spsnainikhad@gmail.com
75,7,1414,12523,"SHIVALIK BANDANA  PUBLIC
SCHOOL",SAMOTE,CHAMBA,176207,9th-10th,,2025-26,"94598-43072,,01899-271065",11sbpschool@gmail.com
76,8,1302,12524,"HIMLAND PUBLIC HIGH
SCHOOL",DHULARA,CHAMBA,176207,9th-10th,,2025-26,98179-68484,h.p.s.dhulara@gmail.com
77,9,1415,12525,BHARTIYA PUBLIC SCHOOL,SAMOTE,CHAMBA,176207,9th-10th,,2025-26,98576-00053,bps00053@gmail.com
78,10,1454,12529,YASH PUBLIC SCHOOL,UDAIPUR,CHAMBA,176310,9th-10th,,2025-26,"94184-98310, 7018716428",ypsdaipur@gmail.com
79,11,1377,12530,"SHRI JAI KRISHAN GIRI
SARSWATI VIDYA MANDIR",MEHLA,CHAMBA,176311,9th-10th,,2025-26,7973110155,jkgsvm110211@gmailcom
80,12,4637,12531,SHIVALIK PUBLIC SCHOOL,BHARMOUR,CHAMBA,176315,9th-10th,,2025-26,"98057-98233, 98168-87775",shivalikschool2006@gmail.com
81,13,4734,12533,"RISING STAR PUBLIC
SCHOOL",CHAMBA,CHAMBA,176310,9th-10th,,2025-26,"94181-06068, 01899-225022",rspschamba@gmail.com
82,14,1313,12536,"ADARSH ADHUNIK PUBLIC
SCHOOL",GAROLA,CHAMBA,176309,9th-10th,,2025-26,98162-84201,aapsgarola12@gmail.com
83,15,4928,12537,SARSWATI PUBLIC SCHOOL,MASROOND,CHAMBA,176319,9th-10th  (C ),,2025-26,94183-34299,spsmasroond01@gmail.com
84,16,4936,12538,"VIDYA NIKETAN PUBLIC
SCHOOL",GARNOTA,CHAMBA,176207,9th-10th,,2025-26,"88948-17833,88941-
11040,88946-08989",vnpsgarnota@rediffmail.com
85,17,5155,12540,"SHRI SATYA SAI PUBLIC
SCHOOL",BANIKHET,CHAMBA,176303,9th-10th,,2025-26,"94596-39655, 70183-58396",shrisatyasaischool@gmail.com
86,18,5215,12542,"RISING STAR PUBLIC
SCHOOL",CHOWARI,CHAMBA,176302,9th-10th (C ),,2025-26,"85806-46889, 97362-19556",rspschowari@gmail.com
87,19,5156,12543,IMPACT PUBLIC SCHOOL,TELKA,CHAMBA,176312,9th-10th,,2025-26,8894340790,"impactpublicschooltelka@gmail.co
m"
88,20,5216,12544,"D.R.M. VISION PUBLIC
SCHOOL",PUKHRI,CHAMBA,176319,9th-10th,,2025-26,"98162-72124, 88946-95114","drmvisionpublicschoolpukhri@gmail
.com"
89,21,5244,12545,"SNOW VALLEY PUBLIC
SCHOOL",MANJEER,CHAMBA,176312,9th-10th,,2025-26,"94590-64599, 9816242829",mossamdeen195@gmai.com
90,22,5257,12546,"ADV. D.N. MEMORIAL
PUBLIC SCHOOL",RAJNAGAR,CHAMBA,176318,9th-10th  (C ),,2025-26,98828-17935,dnmpsrajnagar@gmail.com
91,23,5470,12547,HOLY HILLS PUBLIC SCHOOL,SAHO,CHAMBA,176314,9th-10th  (C ),,2025-26,8219481671 7018885956,"holyhillspublicschool
@gmail.com"
92,24,5496,12549,"SANDEEPANI VIDYA
MANDIR SCHOOL",SULTANPUR,CHAMBA,176314,9th - 10th (c ),,2025-26,7018029049,svnschoolsultanpur@gmail.com
93,25,5498,12550,GLOBAL PUBLIC SCHOOL,KIHAR,CHAMBA,176320,9th - 10th (c ),,2025-26,8894123649,basithussain385@gmail.com
94,26,5526,12551,MODERN PUBLIC SCHOOL,JUWANS,CHAMBA,176320,9th - 10th,,2025-26,9805916119,mushtaqsoni@gmail.com
95,27,5527,12552,ADARSH VIDYA MANDIR PUBLIC SCHOOL,SUNARA,CHAMBA,176311,9th - 10th,,2025-26,9418883595,rajinderchamba@gmail.com
96,28,5497,,ST. XAVIERS SCHOOL,SAROL,CHAMBA,176310,9th - 10th,,2025-26,9882335189,umabariyal10@gmail.com
97,29,1274,12701,"BHARTIYA PUBLIC
SR.SEC.SCHOOL",CHAMBA,CHAMBA,176310,9th-+2(Sci/Comm),,2025-26,"222406, 224169, 94180-22637",bpschamba@gmail.com
98,30,1273,12703,"ST.STEPHENS
SR.SEC.SCHOOL",CHAMBA,CHAMBA,176310,9th-+2(Sci/Comm)  (C ),,2025-26,"01899-223636,94184-52218",vstrawala@gmail.com
99,31,1245,12706,D.A.V.COLLEGE,BANIKHET,CHAMBA,176303,"11th-+2(Arts/Sci/Comm) (C
)",,2025-26,"94180-95205, 01899-254569",btc.davbkt@gmail.com
100,32,1275,12709,"HOLY HIMALYAN PUBLIC SR.
SEC. SCHOOL",CHAMBA,CHAMBA,176310,9th-+2(Comm),,2025-26,"01899-225439,94180-64623,
94181-11655",gulzrkhan07@gmail.com
101,33,1256,12710,"THE NEW ST.PAUL SR.SEC.
SCHOOL",BHANJRARU,CHAMBA,176316,9th-+2(Arts/Sci),,2025-26,"98572-30003, 97362-70800,
98166-13578",stpaulscbhanjraru@gmail.com
102,34,1244,12711,"BANIKHET PUBLIC SEN SEC
SCHOOL",BANIKHET,CHAMBA,176303,9th-+2(Arts/Comm/Sci) (c ),,2025-26,"70182-13203,01899-254333,
94597-53900",bktlpsss@gmail.com
103,35,1290,12712,KIDS CAMP PUBLIC SCHOOL,CHOWARI,CHAMBA,176302,9th-+2(Sc.) (C ),,2025-26,"94184-66458, 01899-266458,
86288-66458",kcssschw@gmail.com
104,36,1346,12714,"PARAMOUNT PUBLIC
SCHOOL",KIHAR,CHAMBA,176320,9th-+2(Arts/Sci) (C ),,2025-26,"98056-22680,01896-247558",peramountkihar@gmail.com
105,37,1379,12715,"HIM PUSHAP PUBLIC
SCHOOL",MOURA TELKA,CHAMBA,176312,9th--+2th (Sci)   (c ),,2025-26,"98169-30418, 98162-80035",hppschool@gmail.com
106,38,1361,12716,"D.C.M.GURUKUL PUBLIC
SCHOOL",LACHORI,CHAMBA,176308,9th-12th (Sci) (c ),,2025-26,"82195-60350, 94181-87401,
8894431401",gpslachori@gmail.com
107,39,1247,12717,LITTLE ANGEL'S SCHOOL,BANIKHET,CHAMBA,176303,9th-12th (Sci./Com) (c ),,2025-26,"94180-96982, 01899-254044,
82192-42066",12024lasbanikhet@gmail.com
108,40,4736,12720,"KIDS INTERNATIONAL
SCHOOL",SULTANPUR,CHAMBA,176314,9th-12th(Sci) (C ),,2025-26,"94180-19797,94180-
29797,01899-225365",surender19797@gmail.com
109,41,4735,12721,"TINY TOTS PLAYWAY
SCHOOL",MOHALLA SURARA,CHAMBA,176310,9th-+2th(Arts),,2025-26,"94183-86353, 01899-226900,
70185-24048",highschooltinytots@gmail.com
110,42,5471,12722,JAWAHAR PUBLIC SCHOOL,SALOONI,CHAMBA,176320,9th-12th(Sci),,2025-26,85805-33489,jpssalooni@gmail.com
111,1,1643,13501,"HIM KIRAN SECONDARY
SCHOOL HAMIRPUR AT",LUHARERA,HAMIRPUR,177001,9th-10th (C ),,2025-26,"94180-90923,01972-223123,
94184-14599",mailtoHimkiran@gmail.com
112,2,1585,13505,"KINNER GARDEN MODEL
HIGH SCHOOL",HARSOUR,HAMIRPUR,174305,9th-10th (C ),,2025-26,"98162-68879, 62834-05377",kinnergardenmodel@gmail.com
113,3,1619,13512,"SARVODYA PUBLIC HIGH
SCHOOL",KAROT,HAMIRPUR,176108,9th-10th (C ),,2025-26,"70185-14382,98174-37967",sphskarot94@gmail.com
114,4,1598,13514,"ALPINE INTERNATIONAL
SCHOOL",JAURE AMB,HAMIRPUR,174312,9th-10th,,2025-26,"94182-57682, 01972-200032",alpine.international82@gmail.com
115,5,1668,13526,"HIMANDRI VIDYA NIKETAN
HIGH SCHOOL",NANOT,HAMIRPUR,177022,9th-10th,,2025-26,"01972-277320, 94180-96711",sureshkmr711.sk@gmail.com
116,6,1515,13529,ADHAR PUBLIC SCHOOL,BIR,HAMIRPUR,176110,9th-10th (C ),,2025-26,"94180-12846,94181-
25341,82198-07966",adharpublicschool@yahoo.com
117,7,1567,13530,D.A.V.PUBLIC SCHOOL,GUBBAR,HAMIRPUR,177028,9th-10th (C ),,2025-26,"94186-97796,262277",davpsgubbar@gmail.com
118,8,1674,13536,"PUBLIC MODEL HIGH
SCHOOL",PANOH CHAURI,HAMIRPUR,176111,9th-10th,,2025-26,"94184-16491,82788-33820",pmh.school89@gmail.com
119,9,1472,13543,SARSWATI VIDYA MANDIR,BAHINA (GARLI),HAMIRPUR,174309,9th-10th (C ),,2025-26,"94188-54282,94186-42313,
98054-61141","sarswatividhyamandirbahina14@g
mail.com"
120,10,1461,13546,ARYAN PUBLIC SCHOOL,ANU(HAMIRPUR),HAMIRPUR,177005,9th-10th (c ),,2025-26,"94595-44366,94180-
64366,94590-05959, 82197-
64515",aryanpublicschool91@yahoo.com
121,11,1553,13548,"HOLY HEART PUBLIC HIGH
SCHOOL",DIDWIN TIKKER,HAMIRPUR,177401,9th-10th,,2025-26,"94181-75441, 94181-25973,
94180-83106","holyheartpublicschooltd@gmail.co
m"
122,12,1711,13552,"MOTHER MARY PUBLIC
SCHOOL",SUJANPUR TIHRA,HAMIRPUR,176110,9th-10th,,2025-26,"94591-65940, 01972-272940",mothermarysjpr@gmail.com
123,13,1682,13561,SILVER LINE PUBLIC SCHOOL,PATTA,HAMIRPUR,176041,9th-10th (C ),,2025-26,"94185-24711, 94180-78777,
94188-24711",silverline.patta@gmail.com
124,14,1665,13563,BE STAR PUBLIC SCHOOL,NALTI,HAMIRPUR,177001,9th-10th,,2025-26,"01972-247200, 94180-27650",bestarnalti@gmail.com
125,15,1706,13565,"SUN RISE PUBLIC HIGH
SCHOOL",SOHARI,HAMIRPUR,174311,9th-10th (C ),,2025-26,"78074-61047, 7807471047",sunrise.sohari@rediffmail.com
126,16,1722,13567,"AKSHAY JYOTI PUBLIC
SCHOOL",TIBBI(KUTHERA),HAMIRPUR,177020,9th-10th (c ),,2025-26,"94184-49068, 01972-244448",ajps.2001@gmail.com
127,17,1528,13569,SHIVA PUBLIC SCHOOL,CHANDRUHI,HAMIRPUR,177024,9th-10th (C ),,2025-26,"98824-58033,94180-08514,
96254-82951, 01972-260003",spschandruhi120068@gmail.com
128,18,1594,13571,BHARTI PUBLIC SCHOOL,JANGAL BERI,HAMIRPUR,176109,9th-10th (C ),,2025-26,"01972-276677, 94185-03638",bharti.publicschool1@gmail.com
129,19,1601,13574,"LIEUT. NARAIN MEMORIAL
PUBLIC S.S. SCHOOL",JHALLAN (GHAROH),HAMIRPUR,177301,9th-10th,,2025-26,"98164-71451,01972-201165,
70186-02174",lnmps2003@gmail.com
130,20,1521,13575,"BUMBLOO (HAR) PUBLIC
SCHOOL",BUMBLOO,HAMIRPUR,177119,9th-10th (C ),,2025-26,"98166-93943, 94181-93943,
8278707751",bumbloopublicscholl@gmail.com
131,21,1627,13577,PRASHANTI PUBLIC SCHOOL,KOHLWIN,HAMIRPUR,174405,9th-10th,,2025-26,"94590-05795,01972-240590",ppskohlwin@gmail.com
132,22,1560,13578,"HOLY HIMALYAN PUBLIC
SCHOOL",GAUNA,HAMIRPUR,177301,9th-10th,,2025-26,"01972-235318, 94183-69517,
94182-61268, 70189-01926","holyhimalyanpublicschoolgauna@g
mail.com"
133,23,1547,13580,SHEETAL MODEL  SCHOOL,DHANETA,HAMIRPUR,177041,9th-10th,,2025-26,"98177-72516,94183-38871,
98172-90196",sheetalmodelschool@gmail.com
134,24,1483,13583,"SARVA DHARMA MANGAL
PUBLIC SCHOOL",BARA,HAMIRPUR,177044,9th-10th,,2025-26,"01792-238277,98171-32299",sdmps2005@gmail.com
135,25,1554,13585,OASIS PUBLIC SCHOOL,DIDWIN TIKKER,HAMIRPUR,177401,9th-10th,,2025-26,"94180-75291, 97369-81011,
70181-23861",rajan.katoch1979@gmail.com
136,26,1523,13586,BABA BALAK NATH MODEL SCHOOL,CHAKMOH,HAMIRPUR,176039,9th-10th,,2025-26,"98172-25900,01972-
286262,94184-96444, 94184-
16946",bbnmschk@gmail.com
137,27,1543,13587,"G.M.HOLLY HEART PUBLIC
SCHOOL",DHANED,HAMIRPUR,174505,9th-10th (C ),,2025-26,"01972-229525,94182-17105
85805-71514",gmholyheart@gmail.com
138,28,1537,13588,THE LORD KRISHNA SCHOOL,"DANDRU(CHHUCH
WIN)",HAMIRPUR,174312,9th-10th (C ),,2025-26,"94592-57206, 98056, 01168",sanjuss2561673@gmail.com
139,29,1700,13589,NAV PRABHAT PUBLIC SCHOOL,SAMTANA,HAMIRPUR,176042,9th-10th (C ),,2025-26,"98165-14856, 94590-12831","mohdsleemnppssamtana@gmail.
com"
140,30,1510,13591,"SWAMI DAYANAND PUBLIC
SR.SEC.SCHOOL",BIAR (NANAWAN),HAMIRPUR,177119,9th-10th,,2025-26,"94181-78523,  82194-96550,
85806-77905",sdpsbiar@gmail.com
